1283,IONESCU ION,17,DJ,JUDEȚUL DOLJ,DOLJ,74931,Pleșoi,PLEȘOI,"61,0000000000",PARTIDUL SOCIAL DEMOCRAT,PSD,"61,0000000000",PARTIDUL SOCIAL DEMOCRAT,PSD,3,5
1251,PĂPĂROIU NOLICĂ-CORNEL,17,DJ,JUDEȚUL DOLJ,DOLJ,72409,Ghercești,GHERCEȘTI,"61,0000000000",PARTIDUL SOCIAL DEMOCRAT,PSD,"61,0000000000",PARTIDUL SOCIAL DEMOCRAT,PSD,5,10
2238,DOBRE DAN CONSTANTIN,30,OT,JUDEȚUL OLT,OLT,130311,Ghimpețeni,GHIMPEȚENI,"31,0000000000",PARTIDUL NAȚIONAL LIBERAL,PNL,"31,0000000000",PARTIDUL NAȚIONAL LIBERAL,PNL,2,3
2108,IACOB GHEORGHE,29,NT,JUDEȚUL NEAMȚ,NEAMȚ,124153,Sagna,SAGNA,"27,0000000000",ALIANȚA ELECTORALĂ POPULARĂ PROGRESISTĂ EUROPEANĂ LIBERALĂ,A.P.E.L.,"15,0000000000",PARTIDUL DEMOCRAT LIBERAL,PDL,2,5
1791,GOSPODARU IONUȚ,24,IS,JUDEȚUL IAȘI,IAȘI,98051,Miroslovești,MIROSLOVEȘTI,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,3,5
1920,BURCU SÂMION,27,MH,JUDEȚUL MEHEDINȚI,MEHEDINȚI,110116,Oraș Strehaia,STREHAIA,"31,0000000000",PARTIDUL NAȚIONAL LIBERAL,PNL,"31,0000000000",PARTIDUL NAȚIONAL LIBERAL,PNL,2,3
1462,DRĂGUȘIN VIOREL,20,GJ,JUDEȚUL GORJ,GORJ,79932,Crușet,CRUȘET,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,2,3
2574,FĂDOR ANGELICA,35,SV,JUDEȚUL SUCEAVA,SUCEAVA,149138,Iacobeni,IACOBENI,"15,0000000000",PARTIDUL DEMOCRAT LIBERAL,PDL,"15,0000000000",PARTIDUL DEMOCRAT LIBERAL,PDL,1,9
1217,MORARU ION,17,DJ,JUDEȚUL DOLJ,DOLJ,70968,Botoșești-Paia,BOTOȘEȘTI-PAIA,"15,0000000000",PARTIDUL DEMOCRAT LIBERAL,PDL,"15,0000000000",PARTIDUL DEMOCRAT LIBERAL,PDL,3,5
1272,CEANĂ ANA,17,DJ,JUDEȚUL DOLJ,DOLJ,73102,Melinești,MELINEȘTI,"61,0000000000",PARTIDUL SOCIAL DEMOCRAT,PSD,"61,0000000000",PARTIDUL SOCIAL DEMOCRAT,PSD,3,5
461,DEDEAN BORTĂȘ IOAN,6,BN,JUDEȚUL BISTRIȚA-NĂSĂUD,BISTRIȚA-NĂSĂUD,34850,Șieuț,ȘIEUȚ,"31,0000000000",PARTIDUL NAȚIONAL LIBERAL,PNL,"31,0000000000",PARTIDUL NAȚIONAL LIBERAL,PNL,1,4
1343,MIHAI FĂNEL,18,GL,JUDEȚUL GALAȚI,GALAȚI,77082,Rediu,REDIU,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,2,5
