Raluca Surdu;1978-04-05;2;"12 Călărași, colegiul uninominal nr.5";"";"354"
Iulian-Radu Surugiu;1984-07-10;2;"35 Suceava, colegiul uninominal nr.10";"";"355"
Szabó Ödön;1975-07-04;2;"5 Bihor, colegiul uninominal nr.2";"";"356"
Ion Șcheau;1974-02-27;2;"2 Arad, colegiul uninominal nr.3";"";"357"
Gheorghe Șimon;1961-01-01;2;"26 Maramureș, colegiul uninominal nr.5";"";"358"
Costel Șoptică;1967-02-18;2;"7 Botoșani, colegiul uninominal nr.4";"";"359"
Lucian Șova;1960-05-31;2;"4 Bacău, colegiul uninominal nr.4";"";"360"
Elena Cătălina Ștefănescu;1988-08-28;2;"36 Teleorman, colegiul uninominal nr.1";"Elena Cătălina Ștefănescu";"362"
Mihai Tararache;1980-03-30;2;"14 Constanța, colegiul uninominal nr.1";"Mihai Tararache";"366"
Ioan Tămâian;1954-06-23;2;"34 Sibiu, colegiul uninominal nr.1";"";"367"
Răzvan-Ionuț Tănase;1979-03-07;2;"31 Prahova, colegiul uninominal nr.6";"";"368"
Claudiu-Andrei Tănăsescu;1970-02-11;2;"42 București, colegiul uninominal nr.16";"";"369"
Sorin Teju;1965-04-04;2;"31 Prahova, colegiul uninominal nr.5";"";"371"
Cătălin-Florin Teodorescu;1965-04-07;2;"3 Argeș, colegiul uninominal nr.9";"";"372"
Ioan Viorel Teodorescu;1958-04-08;2;"19 Giurgiu, colegiul uninominal nr.3";"";"373"
Hubert Petru Ștefan Thuma;1973-11-02;2;"25 Ilfov, colegiul uninominal nr.3";"Hubert Petru Ștefan Thuma";"374"
Cătălin Tiuch;1978-11-01;2;"37 Timiș, colegiul uninominal nr.6";"";"375"
Dan-Laurențiu Tocuț;1959-10-01;2;"";"";"378"
Eugen Tomac;1981-06-27;2;"43 Diaspora, colegiul uninominal nr.2";"Eugen Tomac";"379"
Rodin Traicu;1956-10-04;2;"27 Mehedinți, colegiul uninominal nr.1";"Rodin Traicu";"380"
Daniel Tudorache;1964-02-27;2;"42 București, colegiul uninominal nr.4";"Daniel Tudorache";"381"
Violeta Tudorie;1970-12-25;2;"42 București, colegiul uninominal nr.7";"Violeta Tudorie";"382"
Laurențiu Țigăeru Roșca;1970-02-27;2;"41 Vrancea, colegiul uninominal nr.5";"";"386"
Gheorghe Udriște;1947-10-06;2;"42 București, colegiul uninominal nr.25";"";"389"
Elena-Ramona Uioreanu;1975-02-22;2;"13 Cluj, colegiul uninominal nr.9";"Elena-Ramona Uioreanu";"390"
Ionaș-Florin Urcan;1974-12-19;2;"28 Mureș, colegiul uninominal nr.4";"";"391"
Vasile Varga;1955-01-03;2;"9 Brăila, colegiul uninominal nr.2";"Vasile Varga";"396"
Sergiu-Constantin Vizitiu;1977-06-03;2;"39 Vaslui, colegiul uninominal nr.7";"";"399"
Ioan Vulpescu;1976-06-17;2;"42 București, colegiul uninominal nr.13";"Ioan Vulpescu";"406"
Mihai Weber;1964-11-18;2;"20 Gorj, colegiul uninominal nr.2";"";"407"
Neviser Zaharcu;1952-01-21;2;"38 Tulcea, colegiul uninominal nr.1";"";"408"
Daniel-Cătălin Zamfir;1967-03-10;2;"8 Brașov, colegiul uninominal nr.1";"Daniel-Cătălin Zamfir";"409"
Radu Zlati;1960-05-28;2;"13 Cluj, colegiul uninominal nr.5";"";"412"
Laura Marin;1969-08-20;2;"18 Galați, colegiul uninominal nr.9";"";"413"
Petru-Sorin Marica;1963-08-23;2;"22 Hunedoara, colegiul uninominal nr.3";"";"414"
Andrei Daniel Gheorghe;1985-07-27;2;"25 Ilfov, colegiul uninominal nr.4";"";"415"
Florică Bîrsășteanu;1959-05-20;2;"37 Timiș, colegiul uninominal nr.3";"";"417"
