Cristian Dănuț Mihai;1959-02-27;1;"9 Brăila, colegiul uninominal nr.2";"";"95"
Neagu Mihai;1955-12-02;1;"35 Suceava, colegiul uninominal nr.4";"";"96"
Vasilica Steliana Miron;1977-02-18;1;"35 Suceava, colegiul uninominal nr.1";"";"98"
Augustin Constantin Mitu;1970-01-28;1;"31 Prahova, colegiul uninominal nr.5";"";"99"
Victor Mocanu;1949-08-28;1;"10 Buzău, colegiul uninominal nr.3";"Victor Mocanu";"100"
Nicolae Mohanu;1946-11-02;1;"36 Teleorman, colegiul uninominal nr.1";"";"102"
Akos-Daniel Mora;1972-07-09;1;"28 Mureș, colegiul uninominal nr.3";"";"103"
Octavian Motoc;1963-02-11;1;"38 Tulcea, colegiul uninominal nr.1";"";"104"
Nicolae Nasta;1963-10-12;1;"25 Ilfov, colegiul uninominal nr.2";"";"106"
Nicolae Neagu;1959-12-06;1;"34 Sibiu, colegiul uninominal nr.3";"Nicolae Neagu";"107"
Marius Neculoiu;1965-09-21;1;"8 Brașov, colegiul uninominal nr.4";"";"108"
Remus-Daniel Nițu;1970-06-08;1;"40 Vâlcea, colegiul uninominal nr.2";"";"114"
Marius Lucian Obreja;1960-08-16;1;"15 Covasna, colegiul uninominal nr.2";"";"115"
Stefan Radu Oprea;1970-06-14;1;"31 Prahova, colegiul uninominal nr.4";"";"120"
Liviu Titus Pașca;1960-04-01;1;"26 Maramureș, colegiul uninominal nr.1";"Liviu Titus Pașca";"121"
Emil Marius Pașcan;1971-11-30;1;"28 Mureș, colegiul uninominal nr.1";"";"122"
Pataki Csaba;1973-07-19;1;"";"";"123"
Marian Pavel;1975-03-09;1;"23 Ialomița, colegiul uninominal nr.1";"";"124"
Teiu Păunescu;1954-05-28;1;"30 Olt, colegiul uninominal nr.2";"Teiu Păunescu";"126"
Dumitru Pelican;1957-02-25;1;"42 București, colegiul uninominal nr.4";"Dumitru Pelican";"127"
Liviu-Marian Pop;1974-05-10;1;"26 Maramureș, colegiul uninominal nr.3";"Liviu-Marian Pop";"130"
Constantin Popa;1962-03-24;1;"10 Buzău, colegiul uninominal nr.3";"Constantin Popa";"131"
Ion Popa;1967-09-04;1;"3 Argeș, colegiul uninominal nr.1";"";"133"
Corneliu Popescu;1961-09-08;1;"7 Botoșani, colegiul uninominal nr.2";"Corneliu Popescu";"136"
Dumitru-Dian Popescu;1968-01-02;1;"20 Gorj, colegiul uninominal nr.1";"Dumitru-Dian Popescu";"137"
Ion Simeon Purec;1950-03-15;1;"";"";"139"
