"nume","inceput","sfarsit","partid"
"Gheorghe Udrişte","2015-02-02",,"Grupul parlamentar al Partidului Naţional Liberal"
"Ioan Balan","2015-02-02",,"Grupul parlamentar al Partidului Naţional Liberal"
"Ioan Oltean","2015-02-02",,"Grupul parlamentar al Partidului Naţional Liberal"
"Ion Şcheau","2015-02-02",,"Grupul parlamentar al Partidului Naţional Liberal"
"Ionaş-Florin Urcan","2015-02-02",,"Grupul parlamentar al Partidului Naţional Liberal"
"Iulian Vladu","2015-02-02",,"Grupul parlamentar al Partidului Naţional Liberal"
"Liviu Laza-Matiuţa","2015-02-02",,"Grupul parlamentar al Partidului Naţional Liberal"
"Lucian Militaru","2015-02-02",,"Grupul parlamentar al Partidului Naţional Liberal"
"Lucian Nicolae Bode","2015-02-02",,"Grupul parlamentar al Partidului Naţional Liberal"
"Maria-Andreea Paul","2015-02-02",,"Grupul parlamentar al Partidului Naţional Liberal"
"Mircea Lubanovici","2015-02-02",,"Grupul parlamentar al Partidului Naţional Liberal"
"Mircea Man","2015-02-02",,"Grupul parlamentar al Partidului Naţional Liberal"
"Mircea-Nicu Toader","2015-02-02",,"Grupul parlamentar al Partidului Naţional Liberal"
"Niculina Mocioi","2015-02-02",,"Grupul parlamentar al Partidului Naţional Liberal"
"Ovidiu-Ioan Dumitru","2015-02-02",,"Grupul parlamentar al Partidului Naţional Liberal"
"Paul Dumbrăvanu","2015-02-02",,"Deputaţi neafiliaţi"
"Petre Petrescu","2015-02-02",,"Deputaţi neafiliaţi"
"Raluca Turcan","2015-02-02",,"Grupul parlamentar al Partidului Naţional Liberal"
"Roberta Alma Anastase","2015-02-02",,"Grupul parlamentar al Partidului Naţional Liberal"
"Sanda-Maria Ardeleanu","2015-02-02",,"Grupul parlamentar al Partidului Naţional Liberal"
"Scarlat Iriza","2015-02-02",,"Deputaţi neafiliaţi"
"Theodor Paleologu","2015-02-02",,"Grupul parlamentar al Partidului Naţional Liberal"
"Tinel Gheorghe","2015-02-02",,"Grupul parlamentar al Partidului Naţional Liberal"
"Valeria-Diana Schelean","2015-02-02",,"Grupul parlamentar al Partidului Naţional Liberal"
"Vasile Gudu","2015-02-02",,"Grupul parlamentar al Partidului Naţional Liberal"
"Vasile Iliuţă","2015-02-02",,"Grupul parlamentar al Partidului Naţional Liberal"
"Camelia-Margareta Bogdănici","2015-02-09",,"Grupul parlamentar al Partidului Social Democrat"
"Florin Mihail Secară","2015-03-04",,"Grupul parlamentar al Partidului Naţional Liberal"
"Mihai Tararache","2015-03-04",,"Grupul parlamentar al Partidului Naţional Liberal"
"Marin Anton","2015-03-09",,"Grupul parlamentar al Partidului Social Democrat"
"Ion Pârgaru","2015-03-30",,"Grupul parlamentar al Partidului Social Democrat"
"Romeo Rădulescu","2015-03-31",,"Deputaţi neafiliaţi"
"Andrei-Răzvan Condurăţeanu","2015-04-01",,"Deputaţi neafiliaţi"
"Florian Daniel Geantă","2015-04-20",,"Grupul parlamentar al Partidului Social Democrat"
"Răzvan Rotaru","2015-04-28",,"Grupul parlamentar Democrat şi Popular"
"Tudor Ciuhodaru","2015-04-29",,"Grupul parlamentar al Partidului Social Democrat"
"Dumitru Niculescu","2015-05-25",,"Grupul parlamentar al Partidului Social Democrat"
"Adrian Gurzău","2015-06-03",,"Deputaţi neafiliaţi"
"Clement Negruţ","2015-06-03",,"Deputaţi neafiliaţi"
"Eugen Tomac","2015-06-03",,"Deputaţi neafiliaţi"
"Petru Movilă","2015-06-03",,"Deputaţi neafiliaţi"
"Gheorghe Roman","2015-06-16",,"Grupul parlamentar al Partidului Naţional Liberal"
"Radu Mihai Popa","2015-06-17",,"Grupul parlamentar Democrat şi Popular"
"Marian Avram","2015-06-24",,"Grupul parlamentar al Partidului Naţional Liberal"
"Virgil Guran","2015-06-26",,"Grupul parlamentar al Partidului Naţional Liberal"
"Valentin Blănariu","2015-06-29",,"Grupul parlamentar al Partidului Social Democrat"
