Lat,Lon,Cod
47.17343,27.580547,IS-II-m-B-03919
47.172644,27.580632,IS-II-m-B-03918
47.066737,26.850198,IS-IV-m-B-04202.02
47.159031,27.586888,IS-II-m-A-03963
47.172048,27.576257,IS-IV-m-B-04358
47.178962,27.567178,IS-II-m-B-03701
47.658073,23.583724,MM-II-m-A-04434
47.928148,23.889866,MM-II-m-A-04711
47.919751,23.930252,MM-II-a-B-04668
44.62493,22.666472,MH-II-m-B-10187
44.625214,22.655846,MH-II-m-A-10200
46.545359,24.561583,MS-II-m-A-15553
46.329143,24.28225,MS-II-m-B-16048
47.170186,26.235199,NT-II-m-B-10628
46.931625,26.365937,NT-II-m-B-10565
47.19759,26.354591,NT-IV-m-A-10763
47.257399,26.20908,NT-IV-m-B-10764
47.206948,26.358157,NT-IV-m-B-10769
47.16989,26.235543,NT-II-a-A-10627
46.926057,26.931229,NT-II-m-B-10663
46.933191,26.368198,NT-II-m-B-10566
46.933222,26.368021,NT-II-m-B-10568
47.207061,26.358378,NT-II-m-B-10712
46.911806,26.087868,NT-II-m-B-10588
46.925815,26.92441,NT-II-m-B-10660
46.933833,26.925767,NT-II-m-B-10686
46.927855,26.369574,NT-II-m-B-10576
47.214224,26.34333,NT-IV-m-B-10588
44.430097,24.360156,OT-II-m-B-08582
44.109476,24.347847,OT-II-m-B-20614
45.422941,25.547584,PH-II-m-A-16385
44.939133,26.024196,PH-II-m-A-16283
44.938234,26.027451,PH-II-m-A-16255
45.185995,26.039888,PH-II-a-A-16841
44.936234,26.026792,PH-II-m-A-16296
45.1861,26.04044,PH-II-a-A-16842
45.18154,25.767281,PH-II-a-A-16375
45.001615,26.234812,PH-II-a-A-16805
44.900322,26.065653,PH-II-a-A-16504
44.939925,26.02695,PH-II-m-A-16246
44.941695,26.021974,PH-II-m-A-16247
45.234248,25.937479,PH-II-M-A-16707
45.355358,25.549194,PH-II-a-A-16691
47.762992,23.195286,SM-II-m-B-05260
47.47737,22.582472,SM-II-m-B-05359
47.792774,22.882319,SM-II-m-B-05230
47.683982,22.466778,SM-II-a-A-05280
47.179732,23.053144,SJ-II-m-B-05007
45.70413,24.067285,SB-II-m-B-12508
46.1667,24.350557,SB-IV-m-B-12626
45.796555,24.15063,SB-II-m-A-12094
45.798354,24.152008,SB-II-m-A-12128
45.78656,24.029838,SB-II-m-B-12368
46.168933,24.352541,SB-II-m-A-12438.01
45.797619,24.150977,SB-II-m-B-12114
45.765794,23.913164,SB-II-m-A-12551
47.466231,26.287099,SV-III-m-B-05681
