Cod,Lat,Lon
MS-II-m-B-15680,46.443077,24.060754
MS-II-m-B-15684,46.654124,24.608977
MS-II-a-A-15689,46.669524,24.645422
MS-II-a-A-15692,46.773246,24.859194
CV-II-m-B-13249,45.795746,25.84597
CV-II-m-B-13259,45.839534,25.928289
CV-II-m-B-13268,46.038975,26.129006
CV-II-m-A-13271,46.103895,25.58661
CV-II-m-A-13272,45.88543,26.118133
CV-II-a-A-13296,45.859815,26.04459
CV-II-m-A-13301,45.835019,26.026308
CV-II-a-A-13299,46.029717,26.060395
CV-II-m-A-13305,45.915452,25.781273
CV-II-m-A-13316,46.119663,25.562921
CV-II-a-B-13324,46.122548,25.560711
CV-II-a-A-13331,45.891868,26.199313
CV-II-a-A-13326,45.760794,26.112516
CV-II-m-B-13335,45.920139,25.852415
CV-II-a-A-13128,45.896549,25.784009
CV-II-m-A-13136,46.103556,25.698156
MM-II-a-A-04446,47.600322,23.522843
MM-II-m-B-04578,47.551137,23.307129
MM-II-m-A-04609,47.56485,23.369077
MM-II-m-B-04623,47.955534,23.825714
MM-II-a-A-04629,47.568513,23.428096
MM-II-m-B-04759,47.506617,23.464048
MM-II-a-B-04762,47.498499,23.468894
MM-II-m-B-04767,47.500038,23.467374
MM-II-m-B-04784,47.948489,23.955216
MM-II-m-B-20247,47.445729,23.305521
SJ-II-a-B-05010,46.942945,23.132056
SJ-II-a-A-05052,47.035283,23.396603
SJ-II-a-B-05055,47.159519,23.412466
SJ-II-a-B-05056,47.059042,23.307021
SJ-II-a-B-05061,47.062426,23.303804
SJ-II-a-A-05075,47.263228,23.253461
SJ-II-a-B-05076,47.287985,23.23941
SJ-II-a-B-05088,47.198574,22.705436
SJ-II-m-B-05090,47.20487,22.991708
SJ-II-m-B-05117,47.255963,23.340934
SJ-II-m-B-05134,47.104792,23.108773
SJ-II-m-B-05145,47.225891,22.663719
SJ-II-a-B-05147,47.00235,23.261258
CJ-II-m-B-07511,46.87012,23.23728
CJ-II-m-B-07576,47.195618,23.825743
CJ-II-a-A-07534,46.910252,23.810408
CJ-II-m-B-07753,46.673168,23.457832
CJ-II-a-A-07704,47.118486,23.921198
CJ-II-m-B-07536,46.93359,23.658306
CJ-II-m-B-07541,46.909885,24.147422
CJ-II-m-B-07544,46.785012,24.125681
CJ-II-a-A-07568,46.948483,22.81429
CJ-II-m-B-07575,46.593327,23.738069
CJ-II-m-B07578,47.073483,23.7351
CJ-II-m-B-07697,46.473638,23.95205
CJ-II-a-A-07742,46.906517,23.774317
CJ-II-m-A-07690,47.00308,23.842172
CJ-II-m-B-07716,46.499965,23.661749
CJ-II-m-B-07719,46.828108,23.412932
CJ-II-m-B-07802,46.849479,23.352424
CJ-II-m-B-07803,46.941923,24.049747
SB-II-m-B-12332,46.00697,24.197182
SB-II-m-A-12337,45.627649,24.260685
SB-II-m-A-12342,45.978266,24.279524
CJ-II-a-B-07673,46.756842,23.382392
CJ-II-a-B-07692,46.937404,23.744877
MS-II-a-A-16073,46.607749,24.13333
MS-II-a-A-16068,46.702364,24.627184
MS-II-a-A-15798,46.46293,24.345636
MS-II-m-A-15792,46.431794,24.836466
CV-II-a-A-13146,45.760352,25.873229
CV-II-a-B-13178,45.952216,26.042091
CV-II-m-A-13170,45.966924,26.015548
CV-II-m-A-13173,45.964433,26.023595
MS-II-m-A-15741,46.355955,24.113283
