"Judet","Localitate","Tip artera","Denumire artera","Numar/Bloc","Codpostal"
"Giurgiu","Giurgiu","Strada","Crângului","","080197"
"Giurgiu","Giurgiu","Intrarea","Crângului","","080198"
"Giurgiu","Giurgiu","Fundătura","Mixandrelor","","080199"
"Giurgiu","Giurgiu","Strada","Zăvoiului","","080201"
"Giurgiu","Giurgiu","Fundătura","Zăvoiului","","080202"
"Giurgiu","Giurgiu","Strada","Stupilor","","080203"
"Giurgiu","Giurgiu","Fundătura","Poieniței","","080205"
"Giurgiu","Giurgiu","Strada","Mugurilor","","080206"
"Giurgiu","Giurgiu","Intrarea","Mugurilor","","080207"
"Giurgiu","Giurgiu","Strada","Mereni","","080211"
"Giurgiu","Giurgiu","Fundătura","Mereni","","080212"
"Giurgiu","Giurgiu","Intrarea","Crizantemei","","080213"
"Giurgiu","Giurgiu","Ulița","Mereni","","080214"
"Giurgiu","Giurgiu","Strada","Migdalului","","080215"
"Giurgiu","Giurgiu","Strada","Livezilor","","080246"
"Giurgiu","Giurgiu","Strada","Dăiței","","080259"
"Giurgiu","Giurgiu","Strada","Tineretului","bl. B1 TURN, B2 TURN, 35 Garsoniere","080271"
"Giurgiu","Giurgiu","Strada","Tineretului","nr. 1-7","080271"
"Giurgiu","Giurgiu","Strada","Tineretului","bl. C40, 27/613-28/613, 30/613, 100-103, 207-212","080277"
"Giurgiu","Giurgiu","Strada","Tineretului","nr. 2-32","080277"
"Giurgiu","Giurgiu","Șoseaua","București","bl. 6/2SC-7/2SC, 6/2S, 1A Turn, 4/1S-5/1S","080307"
"Giurgiu","Giurgiu","Șoseaua","București","nr. 68-108","080307"
"Giurgiu","Giurgiu","Șoseaua","București","bl. 36/853, 44/4D-45/4D, 47/3D, 51/3D","080302"
"Giurgiu","Giurgiu","Șoseaua","București","nr. 53-103","080302"
"Giurgiu","Giurgiu","Șoseaua","București","bl. 7/2S-11/2S","080306"
"Giurgiu","Giurgiu","Șoseaua","București","nr. 26-66","080306"
"Giurgiu","Giurgiu","Bulevardul","Dacia","bl. 40/853","080534"
"Giurgiu","Giurgiu","Bulevardul","Dacia","nr. 1-9","080534"
"Giurgiu","Giurgiu","Bulevardul","Dacia","bl. 46/3D","080537"
"Giurgiu","Giurgiu","Bulevardul","Dacia","nr. 2-8","080537"
"Giurgiu","Giurgiu","Strada","Decebal","bl. 48/3D, 50/3D, 52/2D","080551"
"Giurgiu","Giurgiu","Strada","Decebal","nr. 1","080551"
"Giurgiu","Giurgiu","Strada","Decebal","bl. 49/3D, 53/2D","080553"
"Giurgiu","Giurgiu","Strada","Decebal","nr. 2-4","080553"
"Giurgiu","Giurgiu","Strada","Argedava","","080558"
"Giurgiu","Giurgiu","Strada","Neajlovului","","080559"
"Giurgiu","Giurgiu","Strada","Negru Vodă","bl. 24/511-26/511","080504"
"Giurgiu","Giurgiu","Strada","Negru Vodă","nr. 2-18","080504"
"Giurgiu","Giurgiu","Strada","Negru Vodă","bl. 30/511-31/511","080505"
"Giurgiu","Giurgiu","Strada","Negru Vodă","nr. 20-30","080505"
"Giurgiu","Giurgiu","Strada","Negru Vodă","bl. 32/511-35/511, 43/853, 45/853, 47/853","080506"
"Giurgiu","Giurgiu","Strada","Negru Vodă","nr. 32-76","080506"
"Giurgiu","Giurgiu","Bulevardul","Dacia","bl. 41/853-42/853","080535"
"Giurgiu","Giurgiu","Bulevardul","Dacia","nr. 11-21","080535"
"Giurgiu","Giurgiu","Bulevardul","Dacia","bl. A1-A3","080538"
"Giurgiu","Giurgiu","Bulevardul","Dacia","nr. 10-22","080538"
"Giurgiu","Giurgiu","Strada","Orhideei","","080549"
"Giurgiu","Giurgiu","Bulevardul","Mihai Viteazul","nr. 1-17","080181"
"Giurgiu","Giurgiu","Strada","Negru Vodă","bl. 502-504, B5-B6","080501"
"Giurgiu","Giurgiu","Strada","Negru Vodă","nr. 1-45","080501"
"Giurgiu","Giurgiu","Strada","Negru Vodă","bl. B2, B33, 240 Garsoniere","080502"
"Giurgiu","Giurgiu","Strada","Negru Vodă","nr. 47-87","080502"
"Giurgiu","Giurgiu","Strada","Negru Vodă","nr. 78-116","080507"
"Giurgiu","Giurgiu","Fundătura","Negru Vodă","","080509"
"Giurgiu","Giurgiu","Ulița","Negru Vodă","","080511"
"Giurgiu","Giurgiu","Strada","Clopotari","bl. 512-517","080521"
"Giurgiu","Giurgiu","Strada","Clopotari","nr. 1-21","080521"
"Giurgiu","Giurgiu","Strada","Clopotari","nr. 23-T","080522"
"Giurgiu","Giurgiu","Strada","Clopotari","nr. 2-12","080523"
"Giurgiu","Giurgiu","Strada","Clopotari","nr. 14-T","080524"
"Giurgiu","Giurgiu","Intrarea","Clopotari","","080525"
"Giurgiu","Giurgiu","Fundătura","Viespilor","","080526"
"Giurgiu","Giurgiu","Strada","Dudului","nr. 1-T","080527"
"Giurgiu","Giurgiu","Strada","Dudului","bl. 506-511","080528"
"Giurgiu","Giurgiu","Strada","Dudului","nr. 2-T","080528"
"Giurgiu","Giurgiu","Fundătura","Dudului","","080529"
"Giurgiu","Giurgiu","Strada","Puișor","","080531"
"Giurgiu","Giurgiu","Intrarea","Apusului","","080532"
"Giurgiu","Giurgiu","Bulevardul","Dacia","nr. 23-T","080536"
"Giurgiu","Giurgiu","Bulevardul","Dacia","bl. 28, 31","080539"
"Giurgiu","Giurgiu","Bulevardul","Dacia","nr. 24-T","080539"
"Giurgiu","Giurgiu","Intrarea","Grădinarilor","","080541"
"Giurgiu","Giurgiu","Intrarea","Lalelei","","080542"
"Giurgiu","Giurgiu","Intrarea","Speranței","","080543"
"Giurgiu","Giurgiu","Fundătura","Acetilenei","","080544"
"Giurgiu","Giurgiu","Strada","Episcopiei","nr. 11-T","080015"
"Giurgiu","Giurgiu","Strada","Episcopiei","nr. 4-T","080017"
"Giurgiu","Giurgiu","Strada","Foch, mareșal","bl. 1-2","080021"
"Giurgiu","Giurgiu","Strada","Foch, mareșal","nr. 1-5","080021"
"Giurgiu","Giurgiu","Strada","Foch, mareșal","bl. 3-7","080022"
"Giurgiu","Giurgiu","Strada","Foch, mareșal","nr. 7-T","080022"
"Giurgiu","Giurgiu","Strada","Foch, mareșal","nr. 2-T","080023"
"Giurgiu","Giurgiu","Strada","Dobrogeanu-Gherea Constantin","","080024"
"Giurgiu","Giurgiu","Strada","Parcului","nr. 1-T","080025"
"Giurgiu","Giurgiu","Strada","Parcului","nr. 2-T","080026"
"Giurgiu","Giurgiu","Aleea","Plantelor","nr. 2-T","080028"
"Giurgiu","Giurgiu","Strada","Coșbuc George","","080029"
"Giurgiu","Giurgiu","Strada","Berthelot, g-ral.","","080031"
"Giurgiu","Giurgiu","Strada","Botev Hristo","","080032"
"Giurgiu","Giurgiu","Strada","Mircea cel Bătrân","nr. 1-T","080033"
"Giurgiu","Giurgiu","Strada","Mircea cel Bătrân","nr. 20-30","080035"
"Giurgiu","Giurgiu","Strada","Mircea cel Bătrân","nr. 32-T","080036"
"Giurgiu","Giurgiu","Strada","Bălcescu Nicolae","bl. V 32","080037"
"Giurgiu","Giurgiu","Strada","Bălcescu Nicolae","nr. 1-T","080037"
"Giurgiu","Giurgiu","Strada","Bălcescu Nicolae","bl. 45 Turn, 32/1001","080038"
"Giurgiu","Giurgiu","Strada","Bălcescu Nicolae","nr. 2-T","080038"
"Giurgiu","Giurgiu","Strada","Arcului","","080039"
"Giurgiu","Giurgiu","Strada","Barcian Droc Nicolae, prof.","bl. 51","080041"
"Giurgiu","Giurgiu","Strada","Barcian Droc Nicolae, prof.","nr. 1-T","080041"
"Giurgiu","Giurgiu","Piața","1848","bl. 32","080052"
"Giurgiu","Giurgiu","Piața","1848","nr. 2","080052"
"Giurgiu","Giurgiu","Piața","Unirii","bl. 64","080055"
"Giurgiu","Giurgiu","Piața","Unirii","nr. 2-T","080055"
"Giurgiu","Giurgiu","Strada","Mircea cel Bătrân","bl. 16, 20, 48","080034"
"Giurgiu","Giurgiu","Strada","Mircea cel Bătrân","nr. 2-18","080034"
"Giurgiu","Giurgiu","Strada","Libertății","","080381"
"Giurgiu","Giurgiu","Strada","Grasse","","080382"
"Giurgiu","Giurgiu","Fundătura","Ghiocelului","","080383"
"Giurgiu","Giurgiu","Strada","Buzescu Preda","","080384"
"Giurgiu","Giurgiu","Strada","Dorobanți","","080385"
"Giurgiu","Giurgiu","Ulița","Dorobanți","","080386"
"Giurgiu","Giurgiu","Strada","Grădiniței","","080387"
"Giurgiu","Giurgiu","Strada","Ștefan cel Mare","","080388"
"Giurgiu","Giurgiu","Strada","Dreptății","","080389"
"Giurgiu","Giurgiu","Piața","Sfântul Gheorghe","nr. 1-3","080391"
"Giurgiu","Giurgiu","Piața","Sfântul Gheorghe","nr. 2-4","080393"
"Giurgiu","Giurgiu","Strada","Doja Gheorghe","","080395"
"Giurgiu","Giurgiu","Fundătura","Cucului","","080396"
"Giurgiu","Giurgiu","Fundătura","Rândunicii","","080397"
"Giurgiu","Giurgiu","Fundătura","Mierlei","","080398"
"Giurgiu","Giurgiu","Strada","Victoriei","","080399"
"Giurgiu","Giurgiu","Strada","1 Mai","nr. 1-3","080401"
"Giurgiu","Giurgiu","Strada","1 Mai","nr. 5-T","080402"
"Giurgiu","Giurgiu","Strada","1 Mai","nr. 2-8","080403"
"Giurgiu","Giurgiu","Strada","1 Mai","nr. 10-T","080404"
"Giurgiu","Giurgiu","Fundătura","1 Mai","","080405"
